Name of School,Address,Town,Latitude,Longitude,Category of School,Private or Public (GES Schools),Region,District,Circuit,First Name,Last Name,Contact Number,Contact Email,Number of Classrooms,Boarding Facilities?,Sanitary Facilities?,Science or Teachnical Laboratory?,Assembly Hall?,Library Facilities?,Dining Facilities?,School Bus?,Sporting Facilities?,Staff Accommodation?,Description
ANLO AWOMEFIA SENIOR HIGH SCHOOL,,ANYAKO,"6?00'51.8""N","0?54'09.6""E",SHS,Public,VOLTA,ANLO KETA MUNICIPAL,,,,+233 24 301 6791,anloawomefiashs@ges.gov.gh,,YES,,,,,,,,,
ATIAVI SENIOR HIGH/TECH SCHOOL,,ATIAVI,"5?57'42.6""N","0?50'14.9""E",SHS,Public,VOLTA,ANLO KETA MUNICIPAL,,,,+233 24 654 7460,atiavishst@ges.gov.gh,,NO,,,,,,,,,
KETA BUSINESS SENIOR HIGH SCHOOL,,KETA,"5?52'42.5""N","0?59'08.1""E",SHS,Public,VOLTA,ANLO KETA MUNICIPAL,,,,036 264 2380,ketabusinessshs@ges.gov.gh,,YES,,,,,,,,,
ANLO SENIOR HIGH SCHOOL,,ANLOGA,"5?48'29.5""N","0?55'51.6""E",SHS,Public,VOLTA,ANLO KETA MUNICIPAL,,,,+233 24 345 6162,anloshs@ges.gov.gh,,YES,,,,,,,,,
ZION SENIOR HIGH SCHOOL,,ANLOGA,"6?14'34.4""N","0?23'38.1""W",SHS,Public,VOLTA,ANLO KETA MUNICIPAL,,,,+233 24 499 0025,zionshs@ges.gov.gh,,YES,,,,,,,,,
VOLTA SENIOR HIGH SCHOOL,,"DZITA-
AGBLEDOMI","5?46'39.5""N","0?44'48.5""E",SHS,Public,VOLTA,ANLO KETA MUNICIPAL,,,,024 307 5676,voltashs@ges.gov.gh,,NO,,,,,,,,,
MAFI-KUMASI SENIOR HIGH/TECH SCHOOL,,MAFI-KUMASI,"6?17'03.6""N","0?34'08.9""E",SHS,Public,VOLTA,CENTRAL TONGU,,,,+233 20 818 7567,mafikumasishst@ges.gov.gh,,YES,,,,,,,,,
ADIDOME SENIOR HIGH SCHOOL,,ADIDOME,6.093528687,0.506450997,SHS,Public,VOLTA,CENTRAL TONGU,,,,+233 24 203 7510,adidomeshs@ges.gov.gh,,YES,,,,,,,,,
VOLTA TECH INST,,MATSE,6.704224916,0.474544468,SHS,Public,VOLTA,HO,,,,024 530 0975,voltatechinst@ges.gov.gh,,YES,,,,,,,,,
SHIA SENIOR HIGHTECHNICAL SCHOOL,,SHIA,0.562143,6.795875,SHS,Public,VOLTA,HO MUNICIPAL,,,,024 411 6594,shiashst@ges.gov.gh,,NO,,,,,,,,,
TANYIGBE SENIOR HIGH SCHOOL,,TANYIGBE,6.697770886,0.521643441,SHS,Public,VOLTA,HO MUNICIPAL,,,,209091616,tanyigbeshs@ges.gov.gh,,YES,,,,,,,,,
"OLA GIRLS SENIOR HIGH SCHOOL, HO",,HO,6.618117044,0.467659241,SHS,Public,VOLTA,HO MUNICIPAL,,,,362026224,olagirlsshs@ges.gov.gh,,YES,,,,,,,,,
TAVIEFE COMM. SENIOR HIGH SCHOOL,,TAVIEFE,6.66100168,0.471552093,SHS,Public,VOLTA,HO MUNICIPAL,,,,247096768,taviefecommshs@ges.gov.gh,,YES,,,,,,,,,
E.P.C. MAWUKO GIRLS SENIOR HIGH SCHOOL,,HO,6.60094825,0.47359457,SHS,Public,VOLTA,HO MUNICIPAL,,,,+233 24 483 5243,epcmawukogirlsshs@ges.gov.gh,,YES,,,,,,,,,
"MAWULI SCHOOL, HO",,HO,6.597734423,0.475770243,SHS,Public,VOLTA,HO MUNICIPAL,,,,+233 20 820 0199,mawulischoolshs@ges.gov.gh,,YES,,,,,,,,,
SOKODE SENIOR HIGH/TECH SCHOOL,,SOKODE,6.572891845,0.407492183,SHS,Public,VOLTA,HO MUNICIPAL,,,,020 863 1394,sokodeshst@ges.gov.gh,,YES,,,,,,,,,
AWUDOME SENIOR HIGH SCHOOL,,TSITO,6.550450983,0.298853397,SHS,Public,VOLTA,HO MUNICIPAL,,,,+233 24 663 3824,awudomeshs@ges.gov.gh,,YES,,,,,,,,,
AMEDZOFE TECHNICAL INSTITUTE,,AMEDZOFE,6.845708856,0.440908541,SHS,Public,VOLTA,HO WEST,,,,024 413 2496,amedzofetechinst@ges.gov.gh,,NO,,,,,,,,,
KPEDZE SENIOR HIGH SCHOOL,,KPEDZE,6.840477744,0.49032171,SHS,Public,VOLTA,HO WEST,,,,244986818,kpedzesehs@ges.gov.gh,,YES,,,,,,,,,
AVATIME SENIOR HIGH SCHOOL,,VANE,6.825270446,0.424664022,SHS,Public,VOLTA,HO WEST,,,,547447300,avatimeshs@ges.gov.gh,,YES,,,,,,,,,
AKOME SENIOR HIGH/TECH SCHOOL,,AKOME,6.814118962,0.468180254,SHS,Public,VOLTA,HO WEST,,,,+233 24 597 27976,akomeshst@ges.gov.gh,,YES,,,,,,,,,
DZOLO SENIOR HIGH SCHOOL,,DZOLO,6.775748519,0.481286912,SHS,Public,VOLTA,HO WEST,,,,+233 24 429 1932,dzoloshs@ges.gov.gh,,YES,,,,,,,,,
TSITO SENIOR HIGH/TECH SCHOOL,,TSITO,6.551320582,0.299010056,SHS,Public,VOLTA,HO WEST,,,,244428421,tsitoshst@ges.gov.gh,,YES,,,,,,,,,
ABUTIA SENIOR HIGH/TCHNICAL SCHOOL,,ABUTIA,6.507979524,0.374149712,SHS,Public,VOLTA,HO WEST,,,,+233 20 767 5981,abutiashst@ges.gov.gh,,YES,,,,,,,,,
"E. P. TECHNICAL VOCATIONAL INSTITUTE
ALAVANYO",,FORSON DOTSE,6.062408867,0.454901672,SHS,Public,VOLTA,HOHOE,,,,246730029,eptechvocinst@ges.gov.gh,,YES,,,,,,,,,
AKPAFU SENIOR HIGH/TECH SCHOOL,,AKPAFU,7.240184574,0.469036626,SHS,Public,VOLTA,HOHOE MUNICIPAL,,,,545550559,akpafushst@ges.gov.gh,,YES,,,,,,,,,
LIKPE SENIOR HIGH SCHOOL,,LIKPE-MATE,7.224889762,0.605890299,SHS,Public,VOLTA,HOHOE MUNICIPAL,,,,˜054 386 6428,likpeshs@ges.gov.gh,,YES,,,,,,,,,
E. P. SENIOR HIGH SCHOOL,,HOHOE,7.170835473,0.468352556,SHS,Public,VOLTA,HOHOE MUNICIPAL,,,,+233 24 346 7774,epshs@ges.gov.gh,,YES,,,,,,,,,
"ST. MARY'S SEM.& SENIOR HIGH SCHOOL, LOLOBI",,LOLOBI,7.154554568,0.487849513,SHS,Public,VOLTA,HOHOE MUNICIPAL,,,,244960998,stmaryssemshs@ges.gov.gh,,YES,,,,,,,,,
ALAVANYO SENIOR HIGH/TECH SCHOOL,,"ALAVANYO-
KPEME",7.119560756,0.355209612,SHS,Public,VOLTA,HOHOE MUNICIPAL,,,,573231044,alavanyoshst@ges.gov.gh,,YES,,,,,,,,,
AFADJATO SENIOR HIGH/TECH SCHOOL,,"GBLEDI-
GBOGAME",7.036750607,0.558193195,SHS,Public,VOLTA,HOHOE MUNICIPAL,,,,+233 24 485 6247,afadjatoshst@ges.gov.gh,,YES,,,,,,,,,
KETA SENIOR HIGH/TECH SCHOOL,,KETA,5.790115926,0.867957512,SHS,Public,VOLTA,KETA,,,,+233 24 412 5707,ketashst@ges.gov.gh,,YES,,,,,,,,,
ANLO TECH. INST.,,ANLOGA,5.790105252,0.86797897,TECH,Public,VOLTA,KETA,,,,+233 20 816 2907,anlotechinst@ges.gov.gh,,YES,,,,,,,,,
DZODZE PENYI SENIOR HIGH SCHOOL,,DZODZE,6.227216341,1.017304493,SHS,Public,VOLTA,KETU NORTH,,,,+233 24 065 4718,dzodzepenyishs@ges.gov.gh,,YES,,,,,,,,,
WOVENU SENIOR HIGH TECHNICAL SCHOOL,,TADZEWU,6.192085814,0.893724554,SHS,Public,VOLTA,KETU NORTH,,,,559875619,wovenushst@ges.gov.gh,,YES,,,,,,,,,
WETA SENIOR HIGH/TECH SCHOOL,,WETA,6.130100115,0.983786026,SHS,Public,VOLTA,KETU NORTH,,,,055 228 8938,wetashst@ges.gov.gh,,YES,,,,,,,,,
AFIFE SENIOR HIGH TECH SCHOOL,,AFIFE,6.063036272,0.916508172,SHS,Public,VOLTA,KETU NORTH,,,,+233 24 498 0397,afifeshst@ges.gov.gh,,YES,,,,,,,,,
"ST. PAUL'S SENIOR HIGH SCHOOL, DENU",,"HATSUKOPE/
DENU",6.124601609,1.123904649,SHS,Public,VOLTA,KETU SOUTH,,,,+233 55 675 4672,stpaulsdenushs@ges.gov.gh,,YES,,,,,,,,,
THREE TOWN SENIOR HIGH SCHOOL,,DENU,6.096485118,1.140849403,SHS,Public,VOLTA,KETU SOUTH,,,,+233 24 484 5983,threetownshs@ges.gov.gh,,YES,,,,,,,,,
SOME SENIOR HIGH SCHOOL,,AGBOZUME,6.083494106,1.041657495,SHS,Public,VOLTA,KETU SOUTH,,,,244105546,someshs@ges.gov.gh,,YES,,,,,,,,,
KLIKOR SENIOR HIGH/TECH SCHOOL,,KLIKOR,6.071395175,1.034529681,SHS,Public,VOLTA,KETU SOUTH,,,,545458042,klikorshst@ges.gov.gh,,YES,,,,,,,,,
BISHOP HERMAN COLLEGE,,KPANDO,7.00567077,0.282694114,SHS,Public,VOLTA,KPANDO,,,,201755055,bishophermancollegeshs@ges.gov.gh,,YES,,,,,,,,,
KPANDO SENIOR HIGH SCHOOL,,KPANDO,6.988189625,0.290339208,SHS,Public,VOLTA,KPANDO,,,,362350204,kpandoshs@ges.gov.gh,,YES,,,,,,,,,
KPANDO TECH. INST.,,KPANDO,6.986897672,0.293758741,TECH,Public,VOLTA,KPANDO,,,,501335205,kpandotechinst@ges.gov.gh,,YES,,,,,,,,,
C.Y.O.VOC. TECH. INST.,,SOVIE,6.926884506,0.285187412,TECH,Public,VOLTA,KPANDO,,,,207348145,cyotechvocinst@ges.gov.gh,,YES,,,,,,,,,
ANFOEGA SENIOR HIGH SCHOOL,,ANFOEGA,6.909021266,0.288517272,SHS,Public,VOLTA,NORTH DAYI,,,,+233 20 320 4550,anfoegashs@ges.gov.gh,,YES,,,,,,,,,
VAKPO SENIOR HIGH/TECH SCHOOL,,VAKPO,6.860991207,0.285423712,SHS,Public,VOLTA,NORTH DAYI,,,,+233 695 4549,vakposhst@ges.gov.gh,,YES,,,,,,,,,
VAKPO SENIOR HIGH SCHOOL,,VAKPO,6.845189348,0.299028422,SHS,Public,VOLTA,NORTH DAYI,,,,541642313,vakposhs@ges.gov.gh,,YES,,,,,,,,,
DOFOR SENIOR HIGH SCHOOL,,JUAPONG,6.288908117,0.199492499,SHS,Public,VOLTA,NORTH TONGU,,,,+233 20 443 3069,doforshs@ges.gov.gh,,YES,,,,,,,,,
MEPE ST. KIZITO SENIOR HIGH/TECH SCHOOL,,MEPE,6.075507116,0.429896254,SHS,Public,VOLTA,NORTH TONGU,,,,244136348,mepestkizitoshst@ges.gov.gh,,YES,,,,,,,,,
BATTOR SENIOR HIGH SCHOOL,,BATTOR,6.068813963,0.408002697,SHS,Public,VOLTA,NORTH TONGU,,,,+233 24 387 8354,battorshs@ges.gov.gh,,YES,,,,,,,,,
VOLO COMM. SENIOR HIGH SCHOOL,,VOLO,6.074470436,0.300812912,SHS,Public,VOLTA,NORTH TONGU,,,,055 782 6126,volocommshs@ges.gov.gh,,NO,,,,,,,,,
AVEYIME BATTOR SENIOR HIGH/TECH SCHOOL,,"AVEYIME-
BATTOR",6.019717907,0.373892956,SHS,Public,VOLTA,NORTH TONGU,,,,+233 24 489 5672,aveyimebattorshst@ges.gov.gh,,YES,,,,,,,,,
KPEVE SENIOR HIGH SCHOOL,,KPEVE,6.677424412,0.326756524,SHS,Public,VOLTA,SOUTH DAYI,,,,054 427 0353,kpeveshs@ges.gov.gh,,YES,,,,,,,,,
TONGOR SENIOR HIGH TECH SCHOOL,,KPEVE,6.601066538,0.17886177,SHS,Public,VOLTA,SOUTH DAYI,,,,244544867,tongorshst@ges.gov.gh,,YES,,,,,,,,,
PEKI SENIOR HIGH SCHOOL,,PEKI,6.540722747,0.233561361,SHS,Public,VOLTA,SOUTH DAYI,,,,544270353,pekishs@ges.gov.gh,,YES,,,,,,,,,
PEKI SENIOR HIGH/TECHNICAL SCHOOL,,PEKI,6.535780537,0.246968526,SHS,Public,VOLTA,SOUTH DAYI,,,,+233 24 665 9922,pekishst@ges.gov.gh,,YES,,,,,,,,,
ST. CATHERINE GIRLS SENIOR HIGH SCHOOL,,AGBAKOPE,6.033988608,0.709207368,SHS,Public,VOLTA,SOUTH TONGU,,,,244088004,stcatherinegirlsshs@ges.gov.gh,,YES,,,,,,,,,
COMBONI TECH/VOC INST.,,SOGAKOPE,6.003369326,0.586844852,TVET,Public,VOLTA,SOUTH TONGU,,,,207733937,combonitechvocinst@ges.gov.gh,,YES,,,,,,,,,
SOGAKOPE SENIOR HIGH SCHOOL,,SOGAKOPE,5.9929183,0.601039112,SHS,Public,VOLTA,SOUTH TONGU,,,,244153806,sogakopeshs@ges.gov.gh,,YES,,,,,,,,,
DABALA SENIOR HIGH/TECH.,,DABALA,5.98894695,0.677734295,SHS,Public,VOLTA,SOUTH TONGU,,,,249507991,dabalashst@ges.gov.gh,,YES,,,,,,,,,
ASANKRANGWA SENIOR HIGH/TECH SCHOOL,,ASANKRAGWA,5.815770982,-2.43987553,SHS,Public,WESTERN,WASSA AMENFI WEST,,,,543695468,asankrangwashst@ges.gov.gh,,YES,,,,,,,,,
"ST. MARY'S BOYS' SENIOR HIGH SCHOOL, APOWA",,APOWA,4.896580859,-1.809363174,SHS,Public,WESTERN,AHANTA WEST,,,,312022061,stmarysboysshs@ges.gov.gh,,YES,,,,,,,,,
BAIDOO BONSOE SENIOR HIGH/TECH SCHOOL,,"AGONA
NKWANTA",4.893974478,-1.966702667,SHS,Public,WESTERN,AHANTA WEST,,,,031-91130,baidoobonsoshst@ges.gov.gh,,YES,,,,,,,,,
SANKOR COMM. DAY SENIOR HIGH SCHOOL,,SANKOR,4.824688203,-1.957601439,SHS,Public,WESTERN,AHANTA WEST,,,,020 833 8782,sankorcommshs@ges.gov.gh,,NO,,,,,,,,,
BONZO-KAKU SENIOR HIGH SCHOOL,,AWIEBO,5.055938203,-2.471036003,SHS,Public,WESTERN,ELLEMBELE,,,,557424912,bonzokakushs@ges.gov.gh,,YES,,,,,,,,,
UTHMAN BIN AFAM SENIOR HIGH SCHOOL,,KAMGBUNLI,4.974678284,-2.409418961,SHS,Public,WESTERN,ELLEMBELE,,,,243142708,uthmanbinafamshs@ges.gov.gh,,YES,,,,,,,,,
NKROFUL AGRIC. SENIOR HIGH SCHOOL,,NKROFUL,4.971931608,-2.322572032,SHS,Public,WESTERN,ELLEMBELE,,,,201410757,nkrofulagricshs@ges.gov.gh,,YES,,,,,,,,,
ESIAMA SENIOR HIGH/TECH SCHOOL,,ESIAMA,4.933229867,-2.345497213,SHS,Public,WESTERN,ELLEMBELE,,,,+233 27 420 1823,esiamashst@ges.gov.gh,,YES,,,,,,,,,
KIKAM TECH. INST.,,KIKAM,4.932556046,-2.335722103,TECH,Public,WESTERN,ELLEMBELLE,,,,542202670,kikamtechinst@ges.gov.gh,,YES,,,,,,,,,
HALF ASSINI SENIOR HIGH SCHOOL,,HALF ASSINI,5.608310081,-0.251385225,SHS,Public,WESTERN,JOMORO,,,,312024314,halfassinishs@ges.gov.gh,,YES,,,,,,,,,
ANNOR ADJAYE SENIOR HIGH SCHOOL,,EZILIBO,5.02338815,-2.717773901,SHS,Public,WESTERN,JOMORO,,,,+233 242 314 962,annoradjayeshs@ges.gov.gh,,YES,,,,,,,,,
MPOHOR SENIOR HIGH SCHOOL,,MPOHOR,4.979548657,-1.895763923,SHS,Public,WESTERN,MPOHOR,,,,+233 24 305 1894,mpohorshs@ges.gov.gh,,YES,,,,,,,,,
DABOASE SENIOR HIGH/TECH SCHOOL,,DABOASE,5.142965966,-1.659686274,SHS,Public,WESTERN,MPOHOR WASSA EAST,,,,+233 24 305 1894,daboaseshst@ges.gov.gh,,YES,,,,,,,,,
GWIRAMAN COMM.SENIOR HIGH SCHOOL,,BAMIANKO,4.874588251,-2.239841338,SHS,Public,WESTERN,NZEMA EAST MUNICIPAL,,,,024 177 7863,gwiramancommshs@ges.gov.gh,,NO,,,,,,,,,
NSEIN SENIOR HIGH SCHOOL,,NSEIN,4.866752409,-2.240839117,SHS,Public,WESTERN,NZEMA EAST MUNICIPAL,,,,+233 54 779 3210,nseinshs@ges.gov.gh,,YES,,,,,,,,,
AXIM GIRLS SENIOR HIGH SCHOOL,,AXIM,4.872913619,-2.241082234,SHS,Public,WESTERN,NZEMA EAST MUNICIPAL,,,,244789793,aximgirlsshs@ges.gov.gh,,YES,,,,,,,,,
"ST. AUGUSTINE'S SENIOR HIGH SCHOOL, BOGOSO",,BOGOSO,5.568151768,-2.007854085,SHS,Public,WESTERN,PRESTEA HUNI VALLEY,,,,240707940,staugustinesbogososhs@ges.gov.gh,,YES,,,,,,,,,
HUNI VALLEY SENIOR HIGH SCHOOL,,HUNI VALLLEY,5.469935296,-1.905241948,SHS,Public,WESTERN,PRESTEA HUNI VALLEY,,,,024 473 7905,hunivalleyshs@ges.gov.gh,,YES,,,,,,,,,
PRESTEA SENIOR HIGH/TECH SCHOOL,,PRESTEA,5.447153245,-2.133980963,SHS,Public,WESTERN,PRESTEA HUNI VALLEY,,,,024 475 2913,presteashst@ges.gov.gh,,YES,,,,,,,,,
SEKONDI COLLEGE,,SEKONDI,4.982496887,-1.686592203,SHS,Public,WESTERN,SEKONDI TAKORADI METRO,,,,024 493 8600,sekondicollege@ges.gov.gh,,YES,,,,,,,,,
DIABENE SENIOR HIGH/TECH SCHOOL,,DIABENE,4.963095832,-1.748592874,SHS,Public,WESTERN,SEKONDI TAKORADI METRO,,,,243954413,diabeneshst@ges.gov.gh,,YES,,,,,,,,,
ARCHBISHOP PORTER GIRLS SENIOR HIGH SCHOOL,,SEKONDI,4.941769087,-1.748710103,SHS,Public,WESTERN,SEKONDI TAKORADI METRO,,,,302512869,archbishopportergirlshs@ges.gov.gh,,YES,,,,,,,,,
ADIEMBRA SENIOR HIGH SCHOOL,,DIABENE,4.939058788,-1.730166944,SHS,Public,WESTERN,SEKONDI TAKORADI METRO,,,,312048425,adiembrashs@ges.gov.gh,,YES,,,,,,,,,
"METHODIST SENIOR HIGH SCHOOL, SEKONDI",,SEKONDI,4.937080972,-1.709098799,SHS,Public,WESTERN,SEKONDI TAKORADI METRO,,,,031 2046405.,methodistsekondishs@ges.gov.gh,,NO,,,,,,,,,
"ST. JOHN'S SENIOR HIGH SCHOOL, SEKONDI",,SEKONDI,4.932324368,-1.727793415,SHS,Public,WESTERN,SEKONDI TAKORADI METRO,,,,+233 24 613 7346,stjohnsshs@ges.gov.gh,,YES,,,,,,,,,
FIJAI SENIOR HIGH SCHOOL,,SEKONDI,4.929846714,1.74600469,SHS,Public,WESTERN,SEKONDI TAKORADI METRO,,,,312023427,fijaishs@ges.gov.gh,,YES,,,,,,,,,
TAKORADI SENIOR HIGH SCHOOL,,TANOKROM,4.919255465,-1.773730046,SHS,Public,WESTERN,SEKONDI TAKORADI METRO,,,,268185224,takoradishs@ges.gov.gh,,YES,,,,,,,,,
GHANA SENIOR HIGH/TECH SCHOOL,,TAKORADI,4.897740017,-1.749905446,SHS,Public,WESTERN,SEKONDI TAKORADI METRO,,,,246920843,ghanashst@ges.gov.gh,,YES,,,,,,,,,
BOMPEH SENIOR HIGH./TECH SCHOOL,,TAKORADI,4.889931992,-1.760741459,SHS,Public,WESTERN,SEKONDI TAKORADI METRO,,,,240141807,bompehshst@ges.gov.gh,,NO,,,,,,,,,
TAKORADI TECH. INST.,,TAKORADI,"4?55'05.5""N","1?46'02.2""W",TECH,Public,WESTERN,SEKONDI-TAKORADI,,,,055 393 4214,takoraditechinst@ges.gov.gh,,NO,,,,,,,,,
SHAMA SENIOR HIGH SCHOOL,,SHAMA,"5?01'22.9""N","1?38'08.7""W",SHS,Public,WESTERN,SHAMA,,,,054 966 0888,shamashs@ges.gov.gh,,YES,,,,,,,,,
AHANTAMAN GIRLS' SENIOR HIGH SCHOOL,,SEKONDI-KETAN,"4?57'33.1""N˜","1?43'44.4""W",SHS,Public,WESTERN,SHAMA AHANTA EAST,,,,031 219 2322,ahantamangirlsshs@ges.gov.gh,,YES,,,,,,,,,
TARKWA SENIOR HIGH SCHOOL,,TARKWA,"5?17'28.3""N","2?00'10.0""W",SHS,Public,WESTERN,"TARKWA-NSUAEM
MUNICIPAL",,,,055 715 6018,tarkwashs@ges.gov.gh,,YES,,,,,,,,,
FIASEMAN SENIOR HIGH SCHOOL,,"BANKYIM
TARKWA*","5?35'32.1""N","0?14'55.8""W",SHS,Public,WESTERN,"TARKWA-NSUAEM
MUNICIPAL",,,,031 232 0548,fiasemanshs@ges.gov.gh,,YES,,,,,,,,,
BENSO SENIOR HIGH/TECH SCHOOL,,BENSO,"5?09'09.6""N","1?52'54.3""W",SHS,Public,WESTERN,"TARKWA-NSUAEM
MUNICIPAL",,,,024 855 8478,bensoshst@ges.gov.gh,,YES,,,,,,,,,
AMENFIMAN SENIOR HIGH SCHOOL,,"WASA
AKROPONG","5?46'48.3""N","2?05'28.1""W",SHS,Public,WESTERN,WASSA AMENFI EAST,,,,055 413 2742,amenfimanshs@ges.gov.gh,,YES,,,,,,,,,
ASANKRANGWA SENIOR HIGH SCHOOL,,ASANKRAGWA,"5?48'28.8""N","˜2?25'35.6""W",SHS,Public,WESTERN,WASSA AMENFI WEST,,,,˜050 646 5155,asankrangwashs@ges.gov.gh,,YES,,,,,,,,,
NANA BRENTU SENIOR HIGH/TECH SCHOOL,,ENCHI,"5?48'43.3""N","2?49'30.5""W",SHS,Public,"WESTERN
NORTH",AOWIN SUAMAN,,,,024 417 2731,nanabrentushst@ges.gov.gh,,YES,,,,,,,,,
BIA SENIOR HIGH/TECH SCHOOL,,DEBISO ESSIAM,"6?39'57.1""N","3?05'40.5""W",SHS,Public,"WESTERN
NORTH",BIA WEST,,,,024 802 8641,biashst@ges.gov.gh,,YES,,,,,,,,,
ADJOAFUA COMM. SENIOR HIGH SCHOOL,,ADJOAFUA,"6?39'57.1""N","3?07'05.3""W",SHS,Public,"WESTERN
NORTH",BIA WEST,,,,024 615 3589,adjoafuacommshs@ges.gov.gh,,NO,,,,,,,,,
BIBIANI SENIOR HIGH/TECH SCHOOL,,BIBIANI,"6?27'47.2""N","˜2?18'15.1""W",SHS,Public,"WESTERN
NORTH","BIBIANI/ANHWIASO/
BEKWAI",,,,024 802 8641,bibianishst@ges.gov.gh,,YES,,,,,,,,,
"QUEENS GIRLS' SENIOR HIGH SCHOOL, SEFWI
AWHIASO",,"SEFWI
ANWHIASO","6?19'08.0""N","2?15'01.8""W",SHS,Public,"WESTERN
NORTH","BIBIANI/ANHWIASO/
BEKWAI",,,,024 227 9358,queensgirlsshs@ges.gov.gh,,YES,,,,,,,,,
CHIRANO COMM. DAY SENIOR HIGH SCHOOL,,CHIRANO,"6?18'41.3""N","2?22'56.5""W",SHS,Public,"WESTERN
NORTH","BIBIANI/ANHWIASO/
BEKWAI",,,,024 212 1935,chiranocommshs@ges.gov.gh,,NO,,,,,,,,,
SEFWI BEKWAI SENIOR HIGH SCHOOL,,SEFWI BEKWAI,"6?12'10.9""N","2?18'44.5""W",SHS,Public,"WESTERN
NORTH","BIBIANI/ANHWIASO/
BEKWAI",,,,024 365 2013,sefwibekwaishs@ges.gov.gh,,YES,,,,,,,,,
BODI SENIOR HIGH SCHOOL,,BODI,"6?13'22.1""N","˜2?45'28.5""W",SHS,Public,"WESTERN
NORTH",BODI,,,,024 237 5196,bodishs@ges.gov.gh,,NO,,,,,,,,,
JUABOSO SENIOR HIGH SCHOOL,,JUABOSO,"6?20'40.5""N","2?49'39.0""W",SHS,Public,"WESTERN
NORTH",JUABESO,,,,020 842 0335,juabososhs@ges.gov.gh,,YES,,,,,,,,,
NSAWORA EDUMAFA COMM. SENIOR HIGH SCHOOL,,"NSAWORA
EDUMAFA","6?08'31.7""N","2?36'16.3""W",SHS,Public,"WESTERN
NORTH",SEFWI AKONTOMBRA,,,,024 476 7990,nsaworaedumafacommshs@ges.gov.gh,,NO,,,,,,,,,
AKONTOMBRA SENIOR HIGH SCHOOL,,AKONTOMBRA,"6?02'45.4""N˜","2?52'09.8""W",SHS,Public,"WESTERN
NORTH",SEFWI AKONTOMBRA,,,,055 124 6505,akontombrashs@ges.gov.gh,,YES,,,,,,,,,
ASAWINSO SENIOR HIGH SCHOOL,,ASAWINSO,"6?25'26.4""N","2?42'16.3""W",SHS,Public,"WESTERN
NORTH",SEFWI WIAWSO,,,,024 451 1668,asawinsoshs@ges.gov.gh,,YES,,,,,,,,,
SEFWI-WIAWSO SENIOR HIGH SCHOOL,,SEFWI-WIAWSO,"6?12'35.0""N","2?30'47.8""W",SHS,Public,"WESTERN
NORTH",SEFWI WIAWSO,,,,˜054 668 8491,sefwiwiawsoshs@ges.gov.gh,,YES,,,,,,,,,
SEFWI-WIAWSO SENIOR HIGH/TECH SCHOOL,,SEFWI-WIAWSO,"6?11'53.7""N","2?29'12.6""W",SHS,Public,"WESTERN
NORTH",SEFWI WIAWSO,,,,˜024 631 2393,sefwiwiawsoshst@ges.gov.gh,,YES,,,,,,,,,
"ST. JOSEPH SENIOR HIGH SCHOOL, SEFWI WIAWSO",,SEFWI WIAWSO,"6?16'11.5""N","˜2?29'28.6""W",SHS,Public,"WESTERN
NORTH",SEFWI WIAWSO,,,,˜020 307 1140,stjosephshs@ges.gov.gh,,YES,,,,,,,,,
DADIESO SENIOR HIGH SCHOOL,,DADIESO,"6?07'01.2""N","3?01'53.3""W",SHS,Public,"WESTERN
NORTH",SUAMAN,,,,˜024 267 6057,dadiesoshs@ges.gov.gh,,YES,,,,,,,,,
MANSO-AMENFI COMM. DAY SENIOR HIGH SCHOOL,,MANSO-AMENFI,"5?38'01.4""N","2?15'02.6""W",SHS,Public,"WESTERN
NORTH",WASSA AMENFI CENTRAL,,,, 020 893 4834,mansoamenficommshs@ges.gov.gh,,NO,,,,,,,,,
